Name,Index Year,Overall Score,Property Rights,Government Integrity,Judicial Effectiveness,Tax Burden,Government Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom
Afghanistan,2021,53.0,30.3,29.1,25.7,91.1,76.1,99.9,53.9,59.9,80.8,68.6,10.0,10.0
Albania,2021,65.2,46.1,40.6,22.8,89.0,74.6,86.6,66.1,51.6,82.0,82.8,70.0,70.0
Algeria,2021,49.7,34.0,32.7,41.6,67.2,55.4,49.1,63.5,51.3,84.3,57.4,30.0,30.0
Angola,2021,54.2,30.3,20.4,22.8,87.3,86.9,77.9,56.9,59.6,67.5,70.2,30.0,40.0
Argentina,2021,52.7,46.1,54.0,45.7,70.4,52.8,38.4,59.5,46.3,41.9,62.6,55.0,60.0
Armenia,2021,71.9,57.3,45.0,55.3,87.1,81.3,84.3,81.9,74.5,76.9,73.8,75.0,70.0
Australia,2021,82.4,81.5,89.8,90.0,62.6,58.1,88.7,87.4,84.1,86.7,89.8,80.0,90.0
Austria,2021,73.9,86.8,84.8,83.5,45.7,29.1,90.0,72.6,68.4,81.7,84.0,90.0,70.0
Azerbaijan,2021,70.1,67.9,46.8,55.8,88.1,65.2,99.4,80.5,65.9,73.2,68.0,70.0,60.0
Bahrain,2021,69.9,71.5,64.4,65.8,100.0,67.1,0.0,76.7,71.4,82.8,83.6,75.0,80.0
"Bangladesh ",2021,56.5,38.0,27.7,35.4,84.0,93.8,66.3,55.6,68.8,69.9,63.4,45.0,30.0
Barbados,2021,65.0,52.7,50.2,49.7,79.3,73.1,79.8,69.7,60.1,77.3,58.4,70.0,60.0
Belarus,2021,61.0,58.6,39.8,40.4,92.9,55.5,96.5,75.9,75.7,70.2,76.0,30.0,20.0
Belgium,2021,70.1,84.0,81.3,70.2,46.5,18.4,78.7,80.1,61.1,82.0,84.0,85.0,70.0
Belize,2021,57.5,41.8,36.3,45.7,78.7,64.7,68.5,60.0,54.2,80.2,55.0,55.0,50.0
Benin,2021,59.6,42.5,32.2,37.0,68.4,92.0,86.3,54.6,58.5,83.7,60.4,50.0,50.0
Bhutan,2021,58.3,62.6,55.0,45.7,82.2,71.6,70.2,67.3,79.6,74.3,40.8,20.0,30.0
Bolivia,2021,42.7,18.7,25.9,11.0,85.3,58.4,13.4,58.4,53.4,71.0,61.6,15.0,40.0
Bosnia and Herzegovina,2021,62.9,44.1,42.4,33.7,93.8,49.5,97.1,48.2,67.8,84.1,69.2,65.0,60.0
Botswana,2021,67.6,58.6,48.8,50.8,87.4,68.2,74.8,68.4,68.2,74.1,77.4,65.0,70.0
Brazil,2021,53.4,55.0,47.5,45.5,70.1,56.5,5.3,58.0,50.7,77.8,64.6,60.0,50.0
Brunei Darussalam,2021,66.6,61.1,47.5,62.3,92.3,67.6,20.0,83.6,90.9,74.7,84.6,65.0,50.0
Bulgaria,2021,70.4,66.2,46.8,43.6,93.9,64.7,99.2,62.9,68.5,85.2,84.0,70.0,60.0
Burkina Faso,2021,56.5,45.1,34.5,36.6,80.9,81.9,60.8,44.8,52.2,74.7,61.0,65.0,40.0
Burma,2021,55.2,37.2,32.7,19.7,87.2,87.1,81.9,60.0,64.3,72.5,70.0,30.0,20.0
Burundi,2021,49.9,28.0,27.0,32.1,77.1,79.3,32.2,51.8,67.3,74.7,49.8,50.0,30.0
Cabo Verde,2021,63.8,44.5,48.7,47.5,77.9,70.7,69.7,60.6,55.2,83.3,68.0,80.0,60.0
Cambodia,2021,57.3,39.9,17.0,23.2,89.1,84.3,98.3,30.9,62.6,75.1,66.6,50.0,50.0
Cameroon,2021,53.4,38.3,21.0,27.2,74.8,89.0,79.9,43.9,49.9,81.2,55.2,30.0,50.0
Canada,2021,77.9,84.5,87.9,73.3,76.0,49.8,84.2,81.4,72.4,76.1,88.8,80.0,80.0
Central African Republic,2021,48.8,23.2,22.0,28.2,65.3,92.2,95.4,23.3,40.9,74.9,45.2,45.0,30.0
Chad,2021,50.4,27.7,21.0,25.0,44.6,93.9,96.1,25.3,42.9,76.7,52.0,60.0,40.0
Chile,2021,75.2,70.2,74.5,68.4,72.3,80.4,90.4,75.1,62.5,85.5,83.0,70.0,70.0
China,2021,58.4,62.2,46.4,71.5,72.6,67.6,54.8,80.2,64.9,69.8,71.2,20.0,20.0
Colombia,2021,68.1,59.8,49.7,36.4,69.7,69.3,78.9,71.0,77.7,78.1,77.0,80.0,70.0
Comoros,2021,55.7,34.0,23.6,28.2,63.5,91.6,97.3,48.5,60.4,79.7,66.2,45.0,30.0
Costa Rica,2021,64.2,64.0,59.0,58.1,79.9,87.7,24.3,66.2,55.5,80.9,75.0,70.0,50.0
Côte d'Ivoire,2021,61.7,42.8,27.0,34.9,77.6,90.4,84.1,60.8,48.9,74.7,73.8,75.0,50.0
Croatia,2021,63.6,68.4,51.4,41.1,79.0,35.8,89.6,56.2,43.6,78.7,84.0,75.0,60.0
Cuba,2021,28.1,27.7,48.7,10.0,47.1,0.0,14.6,20.0,20.0,64.6,64.2,10.0,10.0
Cyprus,2021,71.4,78.5,65.0,57.9,80.2,52.1,82.0,76.1,60.5,85.0,84.0,75.0,60.0
Czech Republic,2021,73.8,76.2,64.4,56.8,79.1,51.4,98.1,68.8,77.1,79.7,84.0,70.0,80.0
